ID,Type,Name,RA,Dec,VLSR,VGSR,VLGSR,FWHM,MajAxis,MinAxis,PA,Size,TPeak,NHI,Flux,GNAME
133,XHVC,309.4-13.3+096,217.8,-74.9166666667,96,-70,-130,37,0.4,0.3,-72,2.22,0.22,0.16,141.7,
134,XHVC,309.7+30.0+083,199.8,-32.4833333333,83,-63,-142,37,1.5,1.0,-43,13.01,1.31,1.25,3246.3,
135,XHVC,309.7+35.8+108,199.025,-26.7333333333,108,-29,-107,36,0.4,0.2,-66,8.99,0.74,0.52,1163.3,
136,XHVC,312-11+092    ,221.275,-71.7333333333,92,-70,-133,34,9.8,3.6,-87,1.56,0.45,0.34,180.9,
137,XHVC,314.3+09.4+115,211.225,-51.8666666667,115,-41,-117,32,0.8,0.4,-46,12.84,1.38,0.89,2347.7,
138,XHVC,314.4+31.6+089,204.2,-30.3,89,-45,-125,35,0.6,0.3,-47,0.74,0.59,0.39,110.4,
139,XHVC,315.8-15.1+091,240.35,-73.0166666667,91,-57,-117,64,0.3,0.2,59,3.02,0.76,0.84,496.4,
140,XHVC,316.1-64.3+085,3.65,-51.8666666667,85,19,19,36,0.3,0.2,57,0.64,0.23,0.15,38.4,
141,XHVC,319.9-16.4+106,252.0,-70.9833333333,106,-30,-91,35,1.1,0.8,-79,0.65,0.35,0.23,52.2,
142,XHVC,321.1+07.3+095,222.55,-51.3333333333,95,-42,-119,37,0.6,0.4,24,4.76,0.8,0.68,802.1,
143,XHVC,322.8-15.3+078,254.15,-68.0666666667,78,-50,-112,27,0.4,0.3,70,0.7,0.71,0.47,91.1,
144,XHVC,323.3-17.5+108,259.925,-68.8833333333,108,-17,-77,41,0.4,0.2,-86,3.56,0.76,0.6,524.5,
145,XHVC,324.4+17.4+178,220.4,-40.8,178,56,-25,40,0.6,0.3,73,2.31,0.18,0.16,181.5,
146,XHVC,325.9-14.9+088,257.725,-65.4,88,-31,-93,38,0.6,0.2,-75,1.01,0.67,0.47,156.6,
147,XHVC,327.5-52.6+119,343.775,-58.6666666667,119,47,30,36,0.6,0.5,3,4.78,0.95,0.74,653.2,
148,XHVC,327.9+11.6-103,228.175,-44.2666666667,-103,-218,-297,32,0.5,0.2,-70,0.71,0.57,0.4,97.7,
149,XHVC,327.9-15.7+102,261.65,-64.15,102,-11,-72,37,0.5,0.4,-87,2.14,0.56,0.41,248.5,
150,XHVC,328.8-72.4+088,2.55,-42.6,88,54,65,38,0.8,0.3,15,10.21,2.04,1.37,2857.5,
151,XHVC,329.0-60.0+094,351.7,-52.6166666667,94,38,31,112,1.4,0.6,24,0.45,0.15,0.16,38.1,
152,XHVC,329.9-87.2+088,11.4,-29.6333333333,88,82,114,35,0.3,0.1,-11,1.27,0.18,0.11,92.4,
153,XHVC,330.4-14.3+081,261.725,-61.4166666667,81,-25,-87,57,0.4,0.3,-87,3.79,0.8,0.87,499.9,
154,XHVC,331.5+07.9+106,235.25,-45.4166666667,106,2,-76,37,0.6,0.3,-29,1.71,0.55,0.38,223.8,
155,XHVC,332-74-082    ,2.825,-40.8,-82,-111,-98,37,15.8,10.0,-29,1.61,0.29,0.22,126.5,
156,XHVC,332.2-50.9+088,337.875,-57.5166666667,88,24,4,40,0.6,0.4,-32,2.52,0.97,0.91,476.0,
157,XHVC,332.2+10.5+093,233.8,-42.85,93,-8,-87,36,0.3,0.2,67,0.79,0.29,0.2,50.9,
158,XHVC,332.6-69.9+111,359.225,-43.9166666667,111,77,84,41,0.3,0.2,-40,0.52,0.18,0.14,41.2,
159,XHVC,335.0-12.5-117,263.3,-56.5833333333,-117,-207,-271,56,0.9,0.2,64,1.16,0.57,0.53,217.8,
160,XHVC,335.4+24.4-086,227.125,-29.7166666667,-86,-169,-250,37,1.3,0.5,-74,3.17,0.53,0.38,327.9,
161,XHVC,336.1-51.6+095,336.5,-55.0833333333,95,40,22,36,1.4,0.7,35,0.46,0.4,0.29,58.6,
162,XHVC,336.5+13.7+090,235.675,-37.7166666667,90,5,-74,40,0.2,0.2,-69,0.68,0.26,0.2,52.8,
163,XHVC,336.8+14.8-108,235.05,-36.75,-108,-192,-271,39,1.4,0.2,81,0.46,0.51,0.36,61.7,
